term,description,category,subcategory,lang
Жұмыр қылыш,"Шауып түсуге лайықтап болаттан жасалған, өткір жүзді, ұзындау имек қару.",Сұлулық орындары,Сұлулық салоны,kk
Хас сұлу,"Хас – дәл, нақ, шын мәнінде. Сұлу – ажарлы, көрікті, өңді адам.",Сұлулық орындары,Сұлулық салоны,kk
Бекзада,"Асыл текті азамат, ақсүйек тұқымы.",Сұлулық орындары,Сұлулық салоны,kk
Азамат,"Ұлылық, даңқтылық, саналы адам.",Сұлулық орындары,Сұлулық салоны,kk
Айнамкөз,"Көзі мөлдіреген, сұлу.",Сұлулық орындары,Сұлулық салоны,kk
Арыстан,"Күшті әрі тәуелсіз, биік шыңдарға ұмтылған еркектің бейнесі.",Сұлулық орындары,Сұлулық салоны,kk
Шұғыла,"Жалын, жарқырау, нұр шашу, сәуле шашу.",Сұлулық орындары,Сұлулық салоны,kk
Көшпенді,Көшпелі сән салоны немесе биік шыңдарды бағындырған көшпенді еркектің бейнесі.,Сұлулық орындары,Сұлулық салоны,kk
Сүйкімді,"Тартымды, жарасымды, сымбатты.",Сұлулық орындары,Сұлулық салоны,kk
Абзал,"Қадірлі, құрметті, ардақты.",Сұлулық орындары,Сұлулық салоны,kk
Үрпет,Тұрпат немесе түр-бет.,Сұлулық орындары,Сұлулық салоны,kk
Көшпенді,Иен далалар мен биік шыңдарды бағындырған көшпенді еркектің бейнесі.,Сұлулық орындары,Сұлулық салоны,kk
Ақ қабақ,"Сұлу жүзді, қас-қабағы келіскен.",Сұлулық орындары,Сұлулық салоны,kk
Жұпар,Хош иіс.,Сұлулық орындары,Сұлулық салоны,kk
Құралай,"Киіктің лағы; әдемі, қара көзді құралай көз деген теңеу де бар.",Сұлулық орындары,Сұлулық салоны,kk
Ботакөз,"Ерекше, ботадай көздері сұлу.",Сұлулық орындары,Сұлулық салоны,kk
Нұрай,"Көркі, нұры айдай, сұлу, көркем.",Сұлулық орындары,Сұлулық салоны,kk
Нұрикамал,"Кемеліне келген, толысқан сұлу.",Сұлулық орындары,Сұлулық салоны,kk
Перизат,"Фәни, пері әдемі, сұлу, асқан сұлу, көркем қыз.",Сұлулық орындары,Сұлулық салоны,kk
Рәбиға,"Төртінші, төртінші қыз; көктем, көктем кезі; жолдас, серік.",Сұлулық орындары,Сұлулық салоны,kk
Толғанай,Толған айдай аппақ сұлу болсын деген тілекпен қойылған есім.,Сұлулық орындары,Сұлулық салоны,kk
Шах,Иранда билеуші лауазымы.,Сұлулық орындары,Сұлулық салоны,kk
Абдар,"Жарқын, әдемі.",Сұлулық орындары,Сұлулық салоны,kk
Алмас ұстара,"Шебер маман, асыл әрі бағалы стиль.",Сұлулық орындары,Сұлулық салоны,kk
Мырза,"Ақсүйек, төре, бай адамдардың титулы, қадірлі, абыройлы, беделді адам.",Сұлулық орындары,Сұлулық салоны,kk
Қауғасақал,Әлемді өзгертуге арналған ерекше еркек стилі.,Сұлулық орындары,Сұлулық салоны,kk
Бөкей,"Батыр, ер, палуан.",Сұлулық орындары,Сұлулық салоны,kk
Гөзел,"Әдемі, сұлу, көрікті әйел, гүзал.",Сұлулық орындары,Сұлулық салоны,kk
Айбат,"Әйбәт, жақсы, онды, көркем.",Сұлулық орындары,Сұлулық салоны,kk
Қасым,"Сұлу, әдемі; таратушы, бөлуші, үйлестіруші.",Сұлулық орындары,Сұлулық салоны,kk
Мерей,"Мәртебелі, абыройлы.",Сұлулық орындары,Сұлулық салоны,kk
Нәркес,"Әдемі, сұлу.",Сұлулық орындары,Сұлулық салоны,kk
Райлану,"Ажарлану, әрлілену, реңдену, жадырау, жайнау.",Сұлулық орындары,Сұлулық салоны,kk
Сүрме,Қас-кірпікті бояйтын қынадан жасалған бояу.,Сұлулық орындары,Сұлулық салоны,kk
Алтын кірпік,"Кірпігі аса көркем, тым сұлу.",Сұлулық орындары,Сұлулық салоны,kk
Күлім көз,"Әсем езу тартқан, жүзі жайдары.",Сұлулық орындары,Сұлулық салоны,kk
Ақша маңдай,"Әдемі, сұлу қыз деген ауыспалы мағынада.",Сұлулық орындары,Сұлулық салоны,kk
Ару,"Келбетті сұлу, жаны таза әйел заты.",Сұлулық орындары,Сұлулық салоны,kk
Текті жігіт,"Ержеткен, кәмелетке толған ер-азамат; бозбала.",Сұлулық орындары,Сұлулық салоны,kk
Жеткіншек,Балалар мен бозбалалар сән салоны атауы.,Сұлулық орындары,Сұлулық салоны,kk
Жаңа өмір,"Жаңа – өңі кетпеген, әрі түспеген, ұсталмаған. Өмір – ғұмыр; тіршілік.",Сұлулық орындары,Сұлулық салоны,kk
Көркем жан,"Сұлулық пен күштің үйлесімі, әрдайым назар аударатын бейне.",Сұлулық орындары,Сұлулық салоны,kk
Рахмет,"Мейірімділік, рақымшылық.",Сұлулық орындары,Сұлулық салоны,kk
Сұлулық бөлмесі,"Теріні, шашты күтіп, бояп, тән сұлулығын арттыруға бағытталған әртүрлі шаралар жүргізуге арналған шағын мекеме.",Сұлулық орындары,Сұлулық салоны,kk
Сұлусары,"Үркер шоқжұлдызының шеткерірек тұрған әсем, әдемі, сары жұлдыз.",Сұлулық орындары,Сұлулық салоны,kk
Бағынұр,Адамды қартайтпайтын дәрі.,Сұлулық орындары,Сұлулық салоны,kk
Әрлен,"Ажарлану, реңдену.",Сұлулық орындары,Сұлулық салоны,kk
Ағлия,"Сұлулық, көркемдік, салтанат.",Сұлулық орындары,Сұлулық салоны,kk
Кермеқас,Келіскен әдемі қас.,Сұлулық орындары,Сұлулық салоны,kk
Сұлулық шуағы,"Әдемілік, әсемдік, көркемдік; ажарлылық.",Сұлулық орындары,Сұлулық салоны,kk
Сұңқар,Бүркіт тұқымдас қыран құс.,Сұлулық орындары,Сұлулық салоны,kk
Ақбозат,Қазақ халқының ертеректегі тұрмысында ақбозатты Темірқазықпен бірге бағыт-бағдар алуға жиі пайдаланған.,Сұлулық орындары,Сұлулық салоны,kk
Зәуре,"Жарқыраған; Шолпан, таң жұлдызы.",Сұлулық орындары,Сұлулық салоны,kk
Раушан,"Хош иісті гүл, нұр сәуле.",Сұлулық орындары,Сұлулық салоны,kk
Ырза,"Риза ету, көңілінен шығу.",Сұлулық орындары,Сұлулық салоны,kk
Ақбоз,"Ақ пен боз аралас түс, қылаң.",Сұлулық орындары,Сұлулық салоны,kk
Тарлан,"Тарғыл, шұбар аралас түс.",Сұлулық орындары,Сұлулық салоны,kk
Айқын,"Көпке әйгілі, белгілі, мәлім.",Сұлулық орындары,Сұлулық салоны,kk
Жарқын жүрек,Мейірімділік пен адалдықты білдіретін күш.,Сұлулық орындары,Сұлулық салоны,kk
Алғыр қыран,"Өжет, ер жүрек, батыл, жүректі.",Сұлулық орындары,Сұлулық салоны,kk
Қара мылтық,Шиті мылтық.,Сұлулық орындары,Сұлулық салоны,kk
Алғыр,"Жылдам, епті және шебер адам.",Сұлулық орындары,Сұлулық салоны,kk
Сәнқой,Сәнді стильді ұнататын адам.,Сұлулық орындары,Сұлулық салоны,kk
Сәнқой сері,"Сәнмен киінетін сері, талғамы жоғары тұлға.",Сұлулық орындары,Сұлулық салоны,kk
Сылқым жігіт,"Ерекше стильді ұнататын, жақсы киінетін және бет бейнесіне көңіл бөлетін азамат.",Сұлулық орындары,Сұлулық салоны,kk
Оң қадам,Сәттілікке қадам басу.,Сұлулық орындары,Сұлулық салоны,kk
Хас шебер,Өз ісін жақсы білетін шебер маман.,Сұлулық орындары,Сұлулық салоны,kk
Шабыт,Биік мақсаттарға жету жолындағы шабыт.,Сұлулық орындары,Сұлулық салоны,kk
Жігер,Жоғары мақсатқа жетуге бағытталған жігер.,Сұлулық орындары,Сұлулық салоны,kk
Еркек сәні,"Азаматтық пен талғамның, күштің үйлесімі.",Сұлулық орындары,Сұлулық салоны,kk
Дала батыры,"Қазақтың еркіндік пен тәуелсіздік үшін күрескен, батырлық рухты бойына жинаған адам.",Сұлулық орындары,Сұлулық салоны,kk
Өзіңе сен,Сенімді және құрылымды тұлға.,Сұлулық орындары,Сұлулық салоны,kk
Сардар,"Қолбасшы, басшы, әскердің жетекшісі, жиынтығында күшті әрі батыл тұлға.",Сұлулық орындары,Сұлулық салоны,kk
Ақ қадам,Ұлы жетістіктерге бағытталған қадам.,Сұлулық орындары,Сұлулық салоны,kk
Шебердің қолы,Сән әлеміндегі шебер тұлға.,Сұлулық орындары,Сұлулық салоны,kk
Жүрек қалауы,"Адамның шынайы арманы мен тілегі, ішкі жан дүниесінің қалауы.",Сұлулық орындары,Сұлулық салоны,kk
Әдемілікке ұмтыл,Әрқашан тұрақты және сенімді болуға ұмтылатын бейне.,Сұлулық орындары,Сұлулық салоны,kk
Таутұлға,Күшті тұлға бейнесі.,Сұлулық орындары,Сұлулық салоны,kk
Ер бейне,"Анық азаматтың стилі, бейнесі.",Сұлулық орындары,Сұлулық салоны,kk
Ер қауым,"Топты басқарушы, шешім қабылдаушы.",Сұлулық орындары,Сұлулық салоны,kk
Дидар ғайып,Сән әлемінде кездесетін сұлулықты сезінетін жер.,Сұлулық орындары,Сұлулық салоны,kk
Жерұйық сәні,"Табиғаттың ең әсем, тыныш әрі жайлы орны, ерекше көркем жер.",Сұлулық орындары,Сұлулық салоны,kk
Бүркіт,Биікке ұмтылған еркек бейнесі.,Сұлулық орындары,Сұлулық салоны,kk
Құт тағдыр,"Әрқашан сәтті, әрі оңды бағыт.",Сұлулық орындары,Сұлулық салоны,kk
Бет бейне,"Елеулі, әрі ерекше болмыс.",Сұлулық орындары,Сұлулық салоны,kk
Мұра,"Ата-бабалардан қалған құндылықтар, ұлттық мәдениет пен дәстүрдің негізі.",Сұлулық орындары,Сұлулық салоны,kk
Айдын,Жарық пен күші бар болмыс.,Сұлулық орындары,Сұлулық салоны,kk
Жаңа жұлдыз,"Жаңа бағыт, жаңа мүмкіндіктер мен жетістіктер.",Сұлулық орындары,Сұлулық салоны,kk
Сұңқар,"Ержүрек, батыл және мақсатқа жетуді көздейтін тұлға, сондай-ақ сұңқар құсы да жоғары мәртебелі әрі күшті.",Сұлулық орындары,Сұлулық салоны,kk
Қамал бұзар,Қорғаныс пен тұрақтылықтың символы.,Сұлулық орындары,Сұлулық салоны,kk
Ер қадамы,Тәуелсіздік пен күшке жетелейтін қадам.,Сұлулық орындары,Сұлулық салоны,kk
Ғажап бейне,Ерекше әрі айрықша стиль.,Сұлулық орындары,Сұлулық салоны,kk
Қаһарман қадамы,Батыл әрі ерлікке толы қадам.,Сұлулық орындары,Сұлулық салоны,kk
Көз-алмас,"Дөп басатын, сәнді әрі ерекше көзқарас.",Сұлулық орындары,Сұлулық салоны,kk
Көшбасшы,Алға ұмтылу мен көшбасшылықтың символы.,Сұлулық орындары,Сұлулық салоны,kk
Шыңға ұмтыл,Биік мақсаттарға жетуге бағытталған батыл қадам.,Сұлулық орындары,Сұлулық салоны,kk
Таутұлға,"Мықты, күшті адам.",Сұлулық орындары,Сұлулық салоны,kk
Талдырмаш,"Нәзік, жіңішке бел.",Сұлулық орындары,Сән үйі,kk
Сәукеле,"Дәстүр бойынша, қазақ қыздарының ұзатыларда киетін төбесі биік, асыл тастармен әшекейленген сәнді баскиімі.",Сұлулық орындары,Сән үйі,kk
Оймақ,"Іс тіккенде қолға ине кірмес үшін сұқ қолдың не ортан қолдың басына киетін, жезден, темірден, былғарыдан жасалған құрал.",Сұлулық орындары,Сән үйі,kk
Ханым,Ханның әйелі.,Сұлулық орындары,Сән үйі,kk
Кәмшат,"Кеміргіштер отрядына жататын терісі бағалы аң, құндыз.",Сұлулық орындары,Сән үйі,kk
Таңшапақ,"Таң – күн шығар алдындағы мезгіл. Шапақ – «нұр, жарық, сәуле», «күн шығар кездегі, күн батар кездегі қызыл арай», «алагеуім мезгіл».",Сұлулық орындары,Сән үйі,kk
Үкілі,"Үкісі бар, үкіленген.",Сұлулық орындары,Сән үйі,kk
Бүрмелі,Жиырып тігілген.,Сұлулық орындары,Сән үйі,kk
Шашақ бау,Киімнің немесе басқа да тұрмыстық бұйымдарды байлап бекітетін баулық.,Сұлулық орындары,Сән үйі,kk
Жайна,"Гүлдей жайна, жайқал деген мәндегі есім.",Сұлулық орындары,Сән үйі,kk
Жарқыра,"Күннің, оттың т.б. жап–жарық болып, сәуле (нұр) шашуы.",Сұлулық орындары,Сән үйі,kk
Айшуақ,"Ай сияқты сәулелі, жарық, көңілі жайдары ашық болсын деген тілекпен қойылған есім.",Сұлулық орындары,Сән үйі,kk
Сырғалы,"Сырға таққан, сырғасы бар.",Сұлулық орындары,Сән үйі,kk
Жібек,"Мінезі жібектей, әрі әдемі, сұлу болсын деген ниетпен қойылған.",Сұлулық орындары,Сән үйі,kk
Талғам,"Талғам – эстетикалық сананың саласы. Өмірдегі сұлулықты, табиғат көріністерін, еңбек пен әлеуметтік қарым–қатынастағы, жеке адам бойындағы әсемдік көріністерді бағалай, қабылдай білу қасиетін талғампаздық қасиет деп бағалайды.",Сұлулық орындары,Сән үйі,kk
Разы,"Қанағат, ризалық, ризашылық, қанағаттану, қанағаттандыру, риза болу, риза қылу.",Сұлулық орындары,Сән үйі,kk
Ханша,Әу баста ханның әйеліне берілген атақ.,Сұлулық орындары,Сән үйі,kk
Шолпы,Әйелдер сәндік үшін шаштарының ұшына тағып жүретін әртүрлі әшекей зат.,Сұлулық орындары,Сән үйі,kk
Батсайы,Жібек мата.,Сұлулық орындары,Сән үйі,kk
Бикеш,"Бойжеткен қызға, жас әйелдерге сыпайыгершілік, сыпайылық білдіріп айтылатын сөз.",Сұлулық орындары,Сән үйі,kk
Әдемі,"Әдемі, сұлу.",Сұлулық орындары,Сән үйі,kk
Бешпет,"Ұзындығы тізеге келетін, астарлы жеңіл сырт киім.",Сұлулық орындары,Сән үйі,kk
Шашбау,"Шаштың ұш жағына қоса өретін күміс тиын, шолпы тәрізді түрлі әшекей таққан таспа немесе жібек бау.",Сұлулық орындары,Сән үйі,kk
Камзол,Әйелдер көйлектің сыртынан киетін бешбенттен ұзын сәнді киім.,Сұлулық орындары,Сән үйі,kk
Өрнек,"Әртүрлі үлгімен істелген оюлы бедер, көркемдік түр, әшекей.",Сұлулық орындары,Сән үйі,kk
Сәнді,"Әдемі, көрікті, жарасымды.",Сұлулық орындары,Сән үйі,kk
Үкі аяқ,"Әйелдің бас киіміне тіл-көзден қорғайды деп тағып қоятын үкінің аяғындағы тырнақтарын күміспен, моншақпен әшекейлеп жасаған.",Сұлулық орындары,Сән үйі,kk
Тұмар,"Жас баланы, жаңа туған төлді көз тиюден, ауру-сырқаудан сақтайды деген ұғыммен ішіне құран сөзі жазылған, үшбұрышты мата не былғарымен тысталған дұғалық қағаз.",Сұлулық орындары,Сән үйі,kk
Бойтұмар,Тіл-көзден сақтау үшін мойынға не киімге тағатын бұйым немесе дұға сөз жазылған шағын дүние.,Сұлулық орындары,Сән үйі,kk
Айшық,"Ай, жұлдыз суреттері салынатын яки ою–өрнексіз болып келетін, әйелдердің жаулығына тағатын, жүгенге ердің қасына орнатылатын жарты ай бейнелі күміс әшекей.",Сұлулық орындары,Сән үйі,kk
Жаулық,Әйелдер басына салатын орамал .,Сұлулық орындары,Сән үйі,kk
Басжақсы,Сәукеле әшекейлерінің жалпы атауы.,Сұлулық орындары,Сән үйі,kk
Жақтама,"Әйел баскиімінің моншақ, құйма шытыра түрінде тізбектелініп жасалған, екі жақ самайына түсіп тұратын əшекейлі бөлігі.",Сұлулық орындары,Сән үйі,kk
Бегім,Текті әулеттен шыққан әйел есімдеріне қосарланып айтылатын лауазым.,Сұлулық орындары,Сән үйі,kk
Тал моншақ,Тақияға бірнеше қатар етіп тағылатын моншақ.,Сұлулық орындары,Сән үйі,kk
Тал шыбық,"Қыз бала тал шыбықтай көркем, әдемі болсын деп қойылған есім.",Сұлулық орындары,Сән үйі,kk
Былқылдақ,Қыз-келіншектердің бөркіне қадалған үлкен моншақтар.,Сұлулық орындары,Сән үйі,kk
Шортас,Бас киімге қадайтын асыл тас; әкімдік дәрежені көрсететін белгі.,Сұлулық орындары,Сән үйі,kk
Қозотаға,"Лауазымды, текті адамдардың бас киіміне қадайтын асыл тас, меруерт тас.",Сұлулық орындары,Сән үйі,kk
Қоза,Шашбаудың жоғарғы жағынан тағылатын тас пен күмістің араласқан түрі.,Сұлулық орындары,Сән үйі,kk
Шоқ,"Бас киімге, белбеуге тағатын асыл тас, асыл тасты алтын әшекей.",Сұлулық орындары,Сән үйі,kk
Қолазы,"Бас киімге тағылатын үкі қауырсынын ораған әшекей, шоқты.",Сұлулық орындары,Сән үйі,kk
Шырмауық,"Ілгекті бас киім әшекейі, ілгекті оқа.",Сұлулық орындары,Сән үйі,kk
Тана,Ақықтан жасалған үлкен жалтырауық түйме.,Сұлулық орындары,Сән үйі,kk
Шытық,Күміспен күптеліп шар тәрізді сәукеле әшекей.,Сұлулық орындары,Сән үйі,kk
Төбелдірік,Сәукеле төбесіндегі тәж сияқты әшекей.,Сұлулық орындары,Сән үйі,kk
Маңдайша,Сәукеленің маңдайына тағылатын асыл тасты күміс әшекей.,Сұлулық орындары,Сән үйі,kk
Алқа,"Мойынға, омырауға тағатын, асыл тастармен әшекейленген сәнді бұйым.",Сұлулық орындары,Сән үйі,kk
Саф,"Қоспасыз, тап-таза.",Сұлулық орындары,Сән үйі,kk
Шыныкөз түйме,"Көйлекке арналған кішкене ақ, түйме. Шу өңірінде седеп түйме деп аталады.",Сұлулық орындары,Сән үйі,kk
Шытақ,Сәукеленің қозасы; қозалы салпыншақ; сәукеленің шынжырлы «аяғы».,Сұлулық орындары,Сән үйі,kk
Шытырма,Кимешекке қадайтын күміс түйме; шеттік.,Сұлулық орындары,Сән үйі,kk
Атлас көйлек,Атластан тігілген көйлек.,Сұлулық орындары,Сән үйі,kk
Ағима,Сырт киімге арналған жұқа мата.,Сұлулық орындары,Сән үйі,kk
Хұсни,"Асқан сұлу, өте әдемі. Иранның хұсни зия тотысындай (Ақан сері).",Сұлулық орындары,Сән үйі,kk
Әсия,Желбір (көйлектің етегіне қойылатын).,Сұлулық орындары,Сән үйі,kk
Айдай,Сұлу деген мәнді білдіреді.,Сұлулық орындары,Сән үйі,kk
Сұңғақ,"Бойы ұзын, келбетті деген мәнді білдіреді.",Сұлулық орындары,Сән үйі,kk
Қызыл шырай,"Адамның көркі, өңі, ажары.",Сұлулық орындары,Сән үйі,kk
Дидар,"Жүз, келбет, түр, түс.",Сұлулық орындары,Сән үйі,kk
Іңкәр,"Ынтықтық, кұмарлану, кұштарлану.",Сұлулық орындары,Сән үйі,kk
Нәзік,"Үлбіреген, биязы.",Сұлулық орындары,Сән үйі,kk
Биназир,"Ерекше, асқан (сұлулық).",Сұлулық орындары,Сән үйі,kk
Айбибі,"Айбибі – қазақтың сөзі – ай, Биби – әйел, ханша деген мағынаны білдіреді.",Сұлулық орындары,Сән үйі,kk
Айбике,"Екі сөзден бірігіп жасалған есім, сыңарындағы бике сөзі әйел деген мағынаны береді. Яғни Айдай сұлу әдемі, көркем деген ұғымды білдіреді.",Сұлулық орындары,Сән үйі,kk
Айғыз,"Сұлу, көркем қыз бала.",Сұлулық орындары,Сән үйі,kk
Айзиба,"Қазақтың сөзі ай және парсы тілінен алынған зиба – сұлу, көркем. Ай сияқты сұлу.",Сұлулық орындары,Сән үйі,kk
Айзия,"Қазақтың сөзі ай және зия – жарық, сәуле, шұғыла, яғни ай сәулелі сұлу.",Сұлулық орындары,Сән үйі,kk
Ақмарал,Сұлу аңды қасиет тұтумен байланысты.,Сұлулық орындары,Сән үйі,kk
Баянсұлу,Ғашықтық жырдағы ақылды да сұлу қыздың есімі.,Сұлулық орындары,Сән үйі,kk
Қорлан,"Хор сұлуы, хор қызы.",Сұлулық орындары,Сән үйі,kk
Қырмызы,"Шымқай қызыл, алқызыл, қызыл жібек; нұрлы, әрлі.",Сұлулық орындары,Сән үйі,kk
Мәликә,"Патша әйел, ханша, ханым; билеуші әйел, патшаның әйелі.",Сұлулық орындары,Сән үйі,kk
Нағиза,"Әдемі, сұлу, көркем.",Сұлулық орындары,Сән үйі,kk
Нәфиса,"Сұлу, көркем, әдемі; нәзік, биязы.",Сұлулық орындары,Сән үйі,kk
Айқаракөз,"Сұлулыққа тамсану, сағыну, жақсы көру деген мағынаны білдіреді, әдемі әрі жұмбақ көздер.",Сұлулық орындары,Сән үйі,kk
Шырайлы,"Көрікті, келбетті, иманжүзді, әдемі.",Сұлулық орындары,Сән үйі,kk
Шаттық,"Адамның аса риза болған кездегі сезім күйі, қуаныш.",Сұлулық орындары,Сән үйі,kk
Шашақ,"Бір заттың шетіне әдемілік, сәндік үшін жасалған тарам-тарам салпыншақ; жіп күлтесі.",Сұлулық орындары,Сән үйі,kk
Айпара,"Көрнекті, үлкен, әдемі.",Сұлулық орындары,Сән үйі,kk
Нұрат,"Ажар, нұр.",Сұлулық орындары,Сән үйі,kk
Ақжарылқап,"Жарқын, арайлы, нұрат, абдар, шұғылалы, нұрлы.",Сұлулық орындары,Сән үйі,kk
Дидар,"Бейне, кескін.",Сұлулық орындары,Сән үйі,kk
Зәурен,"Өң, дидар, әлпет.",Сұлулық орындары,Сән үйі,kk
Бәну,"Бикеш, бике, ханым.",Сұлулық орындары,Сән үйі,kk
Манар,"Әдемі, сұлу. Аппақ манардай жас сұлу.",Сұлулық орындары,Сән үйі,kk
Шандоз,"Көз тартарлық, кербез, тамаша.",Сұлулық орындары,Сән үйі,kk
Керімсал,"Кербез, маңғаз, сұлу, сылқым, керім.",Сұлулық орындары,Сән үйі,kk
Сылаң,"Әсемпаз, қырымпаз; кербез, керім, керімсал, кермағыз, кер маңғаз, кермиық, әсемсал, көзел, көркем, көрікті, сырбаз, сұлу, сылқым, сал, сәнқой, қайнақай, қақырам, құбан, қырмызы, құлып, манар, зипа, зарып, шандоз, шынбай, жәміл, ділбар, тайып деген мағнаны береді.",Сұлулық орындары,Сән үйі,kk
Мұнтаз,"Пәк, мұмтаз, мұнтаздану, тазалану.",Сұлулық орындары,Сән үйі,kk
Сылама,"Әсемпаз, сәнқой, қырымпаз; өте сәнді, әдемі тігілген бас киім.",Сұлулық орындары,Сән үйі,kk
Тайлаң,"Көрікті, келісті. Тайлаң жігіт.",Сұлулық орындары,Сән үйі,kk
Сұлудың жанары,"Мөлдір, таза, ешкім тиіспеген, лайланбаған, пәк.",Сұлулық орындары,Сән үйі,kk
Көз тояр,"Рахаттану, қызығу, қанағаттану.",Сұлулық орындары,Сән үйі,kk
Көзмоншақ,Көз тимесін деген ырыммен кішкентай ақ тастан көз қондырылып жасалған моншақ.,Сұлулық орындары,Сән үйі,kk
Гүл бүршік,"Өсімдіктің гүлі бастау алатын бүршігі. Сұлулық, әсемдік символы.",Сұлулық орындары,Сән үйі,kk
Гүлдесін,"Гүлді, гүл өскен.",Сұлулық орындары,Сән үйі,kk
Арудай,"Ару сияқты, ару тәрізді.",Сұлулық орындары,Сән үйі,kk
Ғажайып,"Тамаша, керемет, таңданарлық.",Сұлулық орындары,Сән үйі,kk
Шырттай,Су жаңа. Шырттай киіну.,Сұлулық орындары,Сән үйі,kk
Сылқым,"Сәнқой, кербез.",Сұлулық орындары,Сән үйі,kk
Әлпет,"Кескін, келбет, түр, тұрпат.",Сұлулық орындары,Сән үйі,kk
Сындарлы,"Сұңғақ, сымбатты, ұзын бойлы.",Сұлулық орындары,Сән үйі,kk
Талша,"Жіңішке, қылдырықтай, талдай.",Сұлулық орындары,Сән үйі,kk
Үр жаңа,"Су жаңа, ине–жіптен жаңа шыққан деген мағынада айтылады.",Сұлулық орындары,Сән үйі,kk
Арнау,"Әдейі, арнайы дайындалған деген мағынада айтылған.",Сұлулық орындары,Сән үйі,kk
Сәнқой,Жылтыраған әдемілікті ұнататын әсем құмар.,Сұлулық орындары,Сән үйі,kk
Қылықтым,Қылық; мiнез-құлық. Aдaмдapмeн көркем қapым-қaтынac.,Сұлулық орындары,Сән үйі,kk
Ару,"Аса сұлу, көрікті, сымбатты қыз, келіншек.",Сұлулық орындары,Сән үйі,kk
Томирис,Күнгей түркі сақ халықтарының байырғы заманда ел билеген атақты әйел.,Сұлулық орындары,Сән үйі,kk
Маңғаз,"Кербез, паң, тәкаппар.",Сұлулық орындары,Сән үйі,kk
Аймаңдай,Жарқын жүзді деген мағынада айтылған.,Сұлулық орындары,Сән үйі,kk
Ынтызар,"Құмар, құштар, ынтық.",Сұлулық орындары,Сән үйі,kk
Құмар,"Ынтық, ынтызар; асық.",Сұлулық орындары,Сән үйі,kk
Шабыт,"Құдайдың нұрға бөлеуі, мәдени-шығармашылық үдеріс, қандай да бір іс-әрекетті жүзеге асыруда шығармашылық күш-жігердің молаюы.",Сұлулық орындары,Сән үйі,kk
Гүлшоғы,"Түрлі әсем гүлдерден тұратын әдемі жиынтық, көбінесе табиғаттың сұлулығын бейнелейтін атау.",Сұлулық орындары,Сән үйі,kk
Сән әлемі,"Сән мен стильдің кең ауқымды әлемі, адамдардың эстетикалық талғамы мен сәнділікке деген ұмтылысын сипаттайтын орта.",Сұлулық орындары,Сән үйі,kk
Кермарал,"Табиғаттың сұлу тағысы, маралдың әдемілігімен салыстырыла айтылған теңеу.",Сұлулық орындары,Сән үйі,kk
Гүлзар,"Жайқалып гүл өскен жер, алаң.",Сұлулық орындары,Сән үйі,kk
Шуақ,Күн көзінің сәулесі түскен жер.,Сұлулық орындары,Сән үйі,kk
Ақтамақ,Сұлулықты бейнелеу түрінде қойылған есім.,Сұлулық орындары,Сән үйі,kk
Өрімтал,"Жап–жас, балғын, өрімдей.",Сұлулық орындары,Сән үйі,kk
Тәж,"Хан, патшалар киетін алтынмен әшекейленген арнайы бас киім.",Сұлулық орындары,Сән үйі,kk
Ләйлім,Қазақ әндерінің кейіпкері.,Сұлулық орындары,Сән үйі,kk
Тарту,"Біреуге арнап берілетін ерекше сый, бағалы зат.",Сұлулық орындары,Сән үйі,kk
Зейне,"Көрік, сұлулық, сымбат, әдемілік.",Сұлулық орындары,Сән үйі,kk
Бір киер киім,"Ерекше салтанаттарда, той-думанда киетін сәнді киім.",Сұлулық орындары,Сән үйі,kk
Жылтыр көйлек,"Жиын, сән-салтанаттарға арнайы киілетін киім.",Сұлулық орындары,Сән үйі,kk
Ғажап,"Керемет, таңғаларлық.",Сұлулық орындары,Сән үйі,kk
Сымбат,"Көрік, кескін, келбет.",Сұлулық орындары,Сән үйі,kk
Керімсал,"Жанға жайлы, салқын самал ескен.",Сұлулық орындары,Сән үйі,kk
Ақшуақ,"Күн нұры, күн сәулесі.",Сұлулық орындары,Сән үйі,kk
Назқоңыр,"Еркелік, еркелеу, өкпелі тілек, әсем, көркем, нәзік. Қоңыр – қазақ дәстүрлі сазының негізгі түсініктерінің бірі.",Сұлулық орындары,Сән үйі,kk
Бейне,"Кескін-келбет, түр-тұрпат, тұлға.",Сұлулық орындары,Сән үйі,kk
Өнек,"Өсімдіктің, егіс дақылдарының жаңадан шыққан майсасы; Жеміс, өнім.",Зауыттар,Зауыттар,kk
Өндір,"Дайындау, жасау, әзірлеу.",Зауыттар,Зауыттар,kk
Шебер,"Қолынан іс келетін өнерпаз адам; ұста, ісмер. Шахматшылар мен дойбышыларға жоғары спорттық және шығармашылық жетістіктері үшін берілетін спорттық атақ.",Зауыттар,Зауыттар,kk
Өрмек,"Алаша, шекпен тоқу үшін қазыққа керіліп, желісі жерге реттеліп, тартылған тоқыма құралы.",Зауыттар,Зауыттар,kk
Жаса,"Бір затты істеп, дайындап шығару; Өмір сүру, тіршілік ету, өмірлі болу.",Зауыттар,Зауыттар,kk
Құрыш,"Жылтыр сұр түсті, темір мен көміртегі және басқа да бекіткіштердің ерітіндісінен тұратын болаттың берік түрі.",Зауыттар,Ірі өндіріс орындары,kk
